	R10	R11	R12	R1	R2	R3
Tvp23bos	0	0	0	0	0	0
Gm15551	0	0	0	0	0	0
Gm11592	0	3	1	0	0	1
Gm16178	4	6	4	6	3	3
Gm16023	2	2	5	6	4	4
Gm12867	1	3	5	1	0	0
Gm12590	0	0	0	0	0	0
Gm15015	0	0	0	0	0	0
F630206G17Rik	0	0	0	0	0	0
4930547E08Rik	0	0	0	0	0	0
Gm11560	8	9	12	15	18	9
Gm16876	0	0	0	0	0	0
4933406J10Rik	0	1	0	0	1	0
Gm15432	3	1	3	0	3	0
A730081D07Rik	4	3	2	7	1	4
Gm16237	0	0	0	1	0	0
Gm15247	1	1	2	1	5	1
Gm11234	0	0	0	0	0	0
4933427G23Rik	0	0	0	1	0	2
4930511O05Rik	0	0	0	0	0	0
Gm16510	0	0	0	0	0	0
Gm15747	0	0	0	0	0	0
Gm13595	0	0	0	0	0	0
Gm12347	0	0	0	1	0	0
4930507D10Rik	0	0	0	0	0	0
Gm14582	0	0	0	0	0	0
Gm15848	1	0	0	1	0	0
Gm12088	0	0	0	0	0	0
Gm15577	0	0	0	0	0	0
Gm16263	0	0	0	0	0	0
Gm13465	0	0	0	0	0	0
Gm15482	0	0	0	0	0	0
Mexis	0	0	0	0	0	0
4930407G08Rik	0	0	0	0	0	0
0610009E02Rik	1	1	1	4	0	3
B230112J18Rik	0	0	0	0	0	0
Gm11629	0	1	0	0	0	0
Gm15655	0	0	0	0	0	0
Gm16069	0	0	0	1	0	0
Gm16275	3	1	0	4	0	1
Plxna4os3	0	0	0	0	0	0
Gm13750	0	0	0	0	0	0
Gm15499	0	0	0	0	0	0
Gm12833	0	0	0	0	0	0
A630052C17Rik	6	6	6	8	6	4
Gm9458	0	0	0	0	0	0
4931428L18Rik	1	0	0	0	0	0
Man2c1os	2	2	5	3	0	3
Gm15589	0	0	0	0	0	0
Platr12	0	0	0	0	0	0
Sox5os5	0	0	0	0	0	0
Gm6117	0	0	0	0	0	0
Gm11685	0	0	0	0	0	0
Gm13977	0	1	0	1	0	2
Gm14902	0	0	0	0	0	0
Gm12154	0	0	0	0	0	0
Gm4409	0	0	0	0	0	0
Gm17029	2	1	1	6	0	2
Gm15816	8	4	7	3	0	3
Gm16201	7	7	11	4	5	8
Hnrnpa1l2-ps	2	1	3	1	4	2
Tspan2os	0	0	0	0	0	0
Gm15222	0	0	0	0	0	0
Gm13261	29	21	31	17	31	31
Gm12037	0	0	0	0	0	0
Gm11770	0	0	0	0	0	0
Gm11674	0	0	0	0	0	0
Gm15751	8	17	7	16	5	10
Gm16098	0	0	0	1	0	0
Gm11216	4	4	4	4	4	2
Gm14051	0	0	0	0	0	0
Gm2309	0	0	0	0	0	0
Gm13912	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0
Cep112os1	0	0	0	0	0	0
Gm14546	0	0	0	0	0	0
Plxna4os1	0	0	0	0	0	0
4930527A07Rik	0	0	0	0	0	0
Gm11827	0	0	0	0	0	0
Gm15969	0	0	0	0	0	0
Gm13070	0	0	0	0	0	0
Gm15587	0	0	0	0	0	0
Gm15351	0	0	0	0	0	1
Gm16192	0	0	0	0	0	0
Gm11915	0	0	0	0	0	0
Snhg7os	10	10	8	13	12	5
Far2os2	0	0	0	0	0	0
Gm13562	2	0	2	9	1	0
1700092C02Rik	0	0	0	0	0	0
E130102H24Rik	4	2	4	2	1	0
Gm14262	0	0	0	0	0	0
Isoc2a	60	46	72	101	69	59
Gm6081	0	0	0	0	0	0
Gm15908	0	0	0	1	0	0
1700029M20Rik	0	0	0	0	0	0
Lyrm7os	0	0	0	0	0	0
Gm12911	0	0	0	0	0	0
Gm12147	0	0	0	0	0	0
Gm12364	0	1	0	0	0	0
Gm11642	9	7	4	8	6	9
Gm11579	0	0	0	0	0	0
4932702P03Rik	5	10	7	6	3	4
Gm16222	0	0	0	0	0	0
4930502E09Rik	0	2	0	1	0	1
4930556L07Rik	0	0	0	0	0	0
Gm15943	1	0	1	1	1	1
Gm43154	0	0	0	0	1	1
4932443L11Rik	0	0	0	1	0	0
Gm13054	3	0	0	0	0	0
Platr21	0	1	0	0	1	0
Gm11981	0	0	0	0	0	0
Gm13110	0	0	0	0	0	0
Gm8978	0	0	0	0	0	0
Gm13657	0	0	0	0	0	1
Gm15677	0	0	0	0	0	0
3110082J24Rik	0	0	0	0	0	0
Gm16726	0	0	0	0	0	0
Gm11482	0	0	0	0	0	0
Ctrcos	0	0	0	0	0	0
Gm13613	0	0	0	0	0	0
Gm11465	0	0	0	0	0	0
Gm13377	0	0	0	0	0	0
5330413P13Rik	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0
4930448D08Rik	0	1	1	0	0	0
Gm15675	0	0	0	0	0	0
Gm11739	4	4	3	13	2	4
4930461C15Rik	0	1	2	2	1	2
Gm15579	1	0	0	0	0	0
Gm13467	0	0	0	0	0	0
Gm14280	0	0	0	0	0	1
Gm12440	0	0	0	0	0	0
Gm14547	0	1	0	0	0	0
Gm11775	0	0	0	0	0	0
Gm13748	0	0	0	0	2	2
Gm16618	3	2	4	2	1	0
Gm16212	0	0	1	0	0	0
Gm11973	0	1	0	0	0	0
Gm14250	0	0	0	0	0	0
2410006H16Rik	1293	710	939	1698	1116	1180
Gm15681	0	0	0	0	0	0
E030013I19Rik	0	0	0	0	0	0
B230206H07Rik	1	2	1	7	1	1
Gm13010	0	0	1	1	0	0
Gm13642	1	0	1	1	0	1
Tbx3os2	0	0	0	1	0	0
Lce6a	0	0	0	0	0	0
Gm13840	0	0	0	0	0	0
Gm13257	0	0	0	0	0	0
A430108G06Rik	3	1	1	4	2	2
Gm13781	0	0	0	0	0	0
Gm13844	0	0	0	0	0	0
Gm16080	0	0	0	0	0	0
Trav20	0	0	0	0	0	0
Snhg20	45	39	47	73	53	63
Gm1720	0	0	0	0	1	0
Gm15325	0	0	0	0	0	0
Gm13546	0	0	0	0	0	0
Gm15543	0	0	0	0	0	0
4930512H18Rik	2	2	1	1	2	0
Gm4577	1	0	0	0	0	0
Gm15883	0	0	0	0	0	0
Gm15288	0	0	0	0	0	0
Gm14225	1	0	0	1	0	0
Gm15672	0	5	2	3	3	5
Gm13175	0	0	0	0	0	0
Lipo5	0	0	0	0	0	0
Gm12828	0	0	0	0	0	0
A230072C01Rik	3	3	5	3	2	4
Gm13594	4	3	3	4	8	6
Gm13352	0	1	0	2	0	0
Gm16225	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0
Phf2os1	5	0	4	3	6	2
1700021J08Rik	0	0	0	0	0	0
Gm15963	0	0	0	0	1	1
4933430M04Rik	0	0	0	0	0	0
Gm11365	1	0	1	1	0	0
Gm15708	4	5	3	4	3	5
Cyp4x1os	0	0	0	0	0	0
Itpr3os	0	0	0	1	0	0
Kcnab3os	0	0	0	1	0	0
Gm11728	0	0	0	0	0	0
Hotair	1	0	0	0	0	0
Gm13404	0	0	0	0	0	0
Gm13716	0	1	0	0	0	0
Gm15276	0	0	0	0	0	0
Gm15298	0	0	0	0	0	0
Gm13598	0	0	0	0	0	0
Gm4926	0	0	0	0	0	0
Gm15755	0	0	0	0	0	1
Gm12027	0	0	0	0	0	0
4930505O20Rik	0	0	0	0	0	0
Gm14019	0	0	0	0	0	0
Gm16124	2	4	5	7	10	6
Gm16364	0	0	3	2	2	3
Gm15903	0	1	0	0	0	0
Gm11630	0	0	0	1	0	1
4930429F24Rik	0	0	0	0	0	0
Gm11497	0	0	0	0	0	0
Gm12207	1	1	3	2	0	1
Gm13189	0	0	0	0	0	0
Gm13835	78	75	83	81	96	93
4930406D18Rik	0	0	0	0	0	0
Gm11766	1	0	5	11	5	0
Gm6286	1	1	4	2	4	6
Gm6226	0	1	2	1	1	1
Gm11823	0	0	0	0	0	0
Gm14210	0	0	0	0	0	0
Gm11788	1	1	0	0	1	0
Frs3os	0	0	1	1	0	0
Gm14532	0	0	0	0	0	0
Gm22000	0	0	0	0	0	0
4933426K07Rik	0	0	0	0	0	0
Gm15956	0	0	0	1	0	1
Gm9697	0	0	0	0	0	0
Gm15063	0	1	0	0	1	0
4930481A15Rik	0	1	1	0	2	0
Gm13530	0	0	0	0	0	0
Gm12746	0	1	1	2	0	0
Gm2020	0	0	0	0	0	0
Gm15489	1	3	1	6	5	6
4732414G09Rik	2	1	1	3	3	5
Gm15859	0	2	0	0	1	0
4930562A09Rik	0	0	0	0	0	0
Gm15527	0	0	0	0	0	0
4930522O17Rik	0	0	0	0	0	0
Gm14697	0	0	0	0	0	0
Gm13066	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0
Gm12596	0	0	0	0	0	0
Aknaos	0	0	0	0	0	0
4930583P06Rik	0	0	0	0	0	0
1700021L23Rik	0	0	0	0	0	0
Gm13869	0	0	0	0	0	0
E330010L02Rik	0	0	0	0	0	0
Gm13017	0	0	0	0	0	0
Gm12946	0	0	0	0	0	0
Gm12248	6	9	4	11	7	7
Gm14135	0	0	0	0	0	0
Gm15948	0	0	0	0	0	0
Rtl10	8	19	20	28	22	18
4933431E20Rik	23	12	24	27	18	19
4930443O20Rik	0	0	2	0	0	0
Bcas1os1	0	0	0	0	0	0
4930527B05Rik	0	0	0	0	0	0
Gm15092	0	0	0	0	0	0
Gm15208	0	0	0	0	0	0
Gm12316	0	0	0	1	1	0
4933435F18Rik	0	0	0	0	0	0
Gm13791	0	0	0	0	0	0
Gm12171	0	0	0	0	0	0
Gm6762	0	0	0	0	0	0
Gm12103	0	0	0	0	0	0
Gm12484	0	0	0	0	0	0
Gm16441	0	0	0	0	0	0
Gm15334	0	0	0	0	1	0
Gm15941	0	0	0	0	0	0
Rsf1os2	0	2	0	0	0	0
Gm13402	0	0	0	0	0	0
Gm13544	0	0	0	1	2	0
4933416E14Rik	0	0	0	0	0	0
Gm12981	0	0	0	0	1	0
Gm16033	0	0	0	0	0	0
Bcas1os2	1	0	0	1	0	0
Gm15475	0	0	0	0	0	0
Gm16277	0	0	0	0	0	0
Cntrobos	0	1	0	0	0	0
Gm14154	1	1	1	2	1	3
Gm13889	2	0	0	1	0	0
Gm2231	0	0	0	0	0	0
Gm5530	6	4	4	4	4	5
Nphs1os	0	0	0	0	0	0
1700041M05Rik	0	0	0	0	0	0
Gm12930	0	0	0	0	0	0
2610027K06Rik	0	0	2	1	1	1
Gm14041	0	0	0	0	0	0
Gm15979	1	0	1	0	0	0
4930417H01Rik	0	0	0	0	0	0
2900072N19Rik	0	2	0	1	0	2
Gm16283	1	0	3	0	0	1
Fthl17-ps3	0	0	0	0	0	0
9130024F11Rik	10	12	17	10	13	9
B230119M05Rik	0	0	0	1	0	1
A230103J11Rik	2	5	2	8	5	5
Gm13206	0	0	0	0	0	0
Gm13387	176	200	185	393	163	175
Gm14133	0	0	0	0	0	0
Gm16143	0	0	0	0	0	0
Gm14241	0	0	0	0	0	0
Gm13874	0	0	0	0	0	0
Gm14155	0	0	0	0	0	0
Cbfa2t2-ps1	1	0	0	0	2	2
Tmem74bos	0	0	0	0	0	0
Gm11748	0	0	0	1	0	0
4930432L08Rik	0	0	0	0	0	0
2900079G21Rik	0	0	0	0	0	0
Cdrt4os2	0	0	0	0	0	0
Gm14033	0	0	0	0	0	0
Gm16295	0	0	0	0	0	0
Gm11611	1	0	0	3	3	1
Gm13599	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
4930515B02Rik	1	0	0	0	0	0
1700110K17Rik	0	0	0	0	0	0
Bach2it1	0	0	0	0	0	0
Dhrs13os	2	4	2	2	2	7
Gm12730	0	0	0	0	0	0
Gm8093	1	0	0	0	0	1
Gm15082	0	0	0	0	0	0
Gm12405	0	0	0	0	0	0
Gm11948	0	2	2	4	2	0
Gm14004	0	0	1	0	0	0
Gm11730	0	0	1	1	0	0
Gm12301	0	0	0	0	0	0
Gm12339	0	0	0	0	0	0
Eldr	29	43	37	52	37	43
A130030D18Rik	0	0	0	0	0	0
Gm15857	0	0	0	0	0	0
Sap30bpos	3	3	1	2	1	2
Gm15518	1	1	0	0	1	0
Gm11532	1	1	0	0	0	0
Gm13793	0	0	0	0	0	0
Gm12505	3	1	2	1	0	5
Trp73os	0	0	0	0	0	0
Recql5os1	0	0	0	0	0	0
Gm14249	0	0	0	0	0	0
Lbhd2	0	0	0	0	0	0
Gm13229	0	0	0	0	0	0
Gm12480	0	0	0	0	0	0
Gm13389	0	0	0	0	0	0
Gm12199	0	0	0	0	0	0
Gm15423	0	0	0	0	0	0
Gm15083	0	0	0	0	0	0
Gm13016	0	0	0	0	0	0
Gm12068	0	0	0	0	0	0
Gm13269	0	0	0	0	0	0
Gm16638	6	6	3	5	5	3
Gm12160	0	0	0	0	0	0
Nctc1	0	0	0	0	0	0
Gm15486	0	0	0	0	0	0
Gm13093	0	0	0	0	0	0
Emx2os	0	0	0	0	0	0
4930586N03Rik	0	0	0	0	0	0
Gm11884	0	0	0	0	0	0
Gm11782	0	0	0	0	0	0
Gm14641	0	0	0	0	0	0
Gm13661	0	0	0	0	0	0
Gm13344	0	0	0	0	0	0
Tmem132cos	0	0	0	0	0	0
Gm13964	0	0	0	0	1	0
AI662270	0	0	1	1	1	0
Gm16093	2	4	1	0	1	2
4930474H06Rik	0	0	0	0	0	0
Gm11264	1	1	0	1	1	0
Gm11399	1	0	0	0	0	0
Gm7237	0	0	0	0	0	0
Gm11714	12	4	6	30	6	9
Gm16099	0	0	0	0	0	0
Pcsk2os2	1	0	0	0	0	0
Gm12324	0	0	0	0	0	0
Gm11523	0	0	0	0	0	0
Atg4a-ps	1	0	1	0	1	0
Gm12279	4	2	4	6	5	3
Gm7847	0	0	0	0	1	0
4930403D09Rik	0	0	0	0	0	0
Gm6706	0	0	0	0	0	0
Gm13839	0	0	0	0	0	0
A230108P19Rik	1	1	0	1	0	0
Gm12756	0	0	0	0	0	0
Gm12655	1	4	2	9	2	3
Gm16316	1	0	0	1	0	0
Gm16152	0	0	0	0	0	0
A930001C03Rik	7	3	3	4	3	5
Gm27192	0	0	0	0	0	0
Gm16096	0	0	0	0	0	0
Gm15864	0	0	0	0	0	0
4930509K18Rik	0	0	0	0	0	0
Gm15545	39	62	47	61	35	36
Gm11683	0	0	0	0	0	0
Gm11376	0	0	0	0	0	0
Plcxd2	175	154	186	277	172	168
Gm12454	45	44	48	45	49	52
A830082K12Rik	65	42	43	81	41	43
Gm5958	0	0	0	0	0	0
Gm12665	0	0	0	0	0	0
Gm14228	0	0	0	0	0	0
1700030C14Rik	0	0	0	0	0	0
Itih5l-ps	0	0	0	0	0	0
BC064078	0	0	0	0	0	0
Gm14022	3	3	4	2	2	0
Cldn34-ps	0	0	0	0	0	0
Gm6483	21	18	11	44	15	16
Gm15008	0	0	0	0	0	1
Sox5os2	0	0	0	0	0	0
Gm14093	0	0	0	0	0	0
Gm15246	10	7	9	12	5	5
Gm16336	0	0	0	0	0	0
Gm14244	0	0	0	0	0	0
Gm16230	4	4	6	8	1	4
Nr5a1os	0	0	0	0	0	0
2010001A14Rik	43	23	46	50	34	33
L1td1	0	0	0	0	0	0
Gm15891	0	0	0	0	0	0
Gm15983	3	5	8	2	5	2
1700001G01Rik	0	0	0	0	0	0
Gm12962	0	0	0	0	0	0
Gm12153	0	0	0	1	0	1
Gm11337	0	0	0	0	0	0
5530601H04Rik	86	79	97	99	92	71
Gm15133	0	0	0	0	0	0
D230022J07Rik	0	2	0	0	0	0
E130307A14Rik	65	58	70	68	40	56
A230056P14Rik	33	32	43	30	40	34
5730471H19Rik	19	33	41	21	36	27
Gm11924	0	0	0	0	0	0
Gm13570	0	0	0	0	0	2
Gm11650	0	0	0	1	0	0
Gm13872	0	0	0	0	0	0
Gm13431	2	0	3	6	0	0
D430001F17Rik	0	0	0	0	0	0
Lexis1	0	0	0	0	0	0
Gm14820	0	1	1	0	0	0
Skint6	2	0	4	1	1	1
Gm12907	0	0	0	0	0	0
Gm13373	3	0	1	2	0	3
Gm13780	0	0	0	0	0	0
Tmem274	0	0	0	1	0	0
Gm15818	0	0	0	0	0	0
Lrp8os3	5	6	3	4	3	9
Gm15261	1	2	4	1	3	1
Gm15813	0	0	0	0	0	0
Gm13986	1	2	4	6	10	3
1700073E17Rik	0	0	0	0	0	0
4930445N08Rik	0	0	0	0	0	0
Gm16175	0	0	0	0	0	1
Gm13147	0	0	0	1	0	0
Gm5125	0	0	0	0	0	0
Gm15391	0	0	0	0	0	0
Lhx1os	1	0	3	0	1	4
2810408I11Rik	54	65	66	64	68	86
Gm15555	0	0	0	0	0	0
Gm14618	0	0	0	0	0	0
E130111B04Rik	0	0	0	0	0	0
Gm13209	0	0	0	0	0	0
Gm13376	0	0	0	0	0	0
Gm11377	0	0	0	0	0	0
BC037032	0	0	1	2	1	1
E030042O20Rik	3	3	2	9	1	3
4930442L01Rik	0	0	0	0	0	0
Gm2182	0	0	0	0	0	0
Gm14014	0	0	0	0	0	0
Gm14015	0	0	0	0	0	0
Gm12827	0	0	0	0	0	0
Mroh3	2	0	2	0	2	0
E230016M11Rik	2	2	1	7	5	5
Gm14764	0	0	0	0	0	0
Gm43213	1	0	0	0	0	0
Gm4750	4	2	2	1	0	2
Kif28	0	1	3	2	0	0
Gm12865	0	0	0	0	0	0
Btf3-ps2	0	0	0	0	0	1
Gm15976	1	0	1	0	0	0
Gm11844	0	0	0	0	0	0
C78197	1	1	1	2	0	0
Gm7284	0	0	0	0	0	0
Gm12126	0	0	0	0	0	0
Gm13346	0	0	0	0	0	0
Alkal1	0	0	0	0	0	0
Gm16120	0	0	0	0	0	0
Gm16062	3	6	6	5	8	5
Usp46os1	0	0	0	0	0	0
Gm14379	5	5	3	10	3	4
Gm12043	1	0	0	1	1	2
2310005A03Rik	0	0	0	0	0	0
Gm6985	0	0	0	0	0	0
Gm15990	0	0	1	0	0	0
Gm15461	0	0	0	0	0	0
2610035D17Rik	18	16	22	18	13	19
Lamtor5	484	403	546	487	559	579
Gm15477	0	0	0	0	0	0
Gm15726	0	1	3	2	0	2
Gad1os	1	0	0	0	0	0
Gm12349	3	5	5	1	2	3
Gm15991	0	0	0	1	0	0
4933427J07Rik	0	0	0	0	0	0
Gm14486	0	0	0	1	0	0
D330023K18Rik	6	2	3	7	6	8
Gm12983	0	0	0	1	1	0
Gm15409	1	4	1	2	1	0
Gm13203	14	4	7	11	11	8
Gm11378	0	0	0	0	0	0
2010013B24Rik	0	0	0	0	0	0
A930006I01Rik	0	0	0	1	0	0
4930544D05Rik	0	0	0	0	0	0
Gm16015	1	0	0	0	0	0
Gm13580	0	0	1	0	0	0
Gm9013	0	1	0	0	0	1
Gm13061	0	0	0	0	0	0
4933424M12Rik	0	0	0	0	0	0
Gm15866	0	0	0	0	0	0
Gm11946	0	4	2	1	0	1
Gm13832	9	9	9	17	6	9
Gm14341	0	0	0	0	0	0
Gm13556	0	0	0	1	0	0
Gm3948	0	0	0	0	0	0
Gm12130	0	0	0	0	0	0
Gm9392	1	4	4	7	2	4
Gm12953	0	0	0	0	0	0
Gm16725	0	0	0	1	0	0
Gm13629	0	0	0	0	0	0
Sox5os1	0	0	0	0	0	0
Lipo2	0	0	0	0	1	0
A430035B10Rik	3	1	1	1	0	1
A230004M16Rik	0	0	0	0	0	0
Gm12925	0	1	1	0	0	1
Gm16195	0	0	0	0	0	0
4930528P14Rik	0	0	0	0	0	0
Gm13833	2	4	1	7	3	2
Prkag2os2	2	0	1	3	1	6
Gm11917	0	0	0	0	0	0
4930466I24Rik	0	0	0	0	0	0
Gm12114	0	0	0	0	0	0
Gm15907	0	0	1	0	0	0
Gm5353	0	0	0	1	0	0
Gm16075	0	0	0	0	0	0
Gm14170	0	0	0	0	0	0
Gm6038	0	0	0	0	0	0
Gm12503	0	0	0	0	1	0
Gm15884	1	2	3	1	0	2
Gm12120	0	0	0	0	0	0
Gm15671	0	0	0	0	0	0
Bloodlinc	0	0	0	0	0	0
1810021B22Rik	9	13	8	16	9	8
Gm12690	0	0	0	0	0	0
Gm13652	0	0	0	0	0	0
AW495222	0	0	0	0	0	0
4930526F13Rik	0	0	0	0	0	0
Gm15860	1	1	3	3	1	4
Gm14144	0	0	0	0	0	0
Scpep1os	1	1	2	3	0	0
Gm11586	0	0	0	0	0	0
Gm15228	1	0	3	0	1	2
0610040F04Rik	0	0	1	1	0	0
Gm12238	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0
Gm15627	0	0	0	0	0	0
Gm13746	0	0	0	0	0	0
1700047K16Rik	0	3	1	0	2	0
Gm15582	0	0	0	0	0	0
Gm16254	0	0	1	0	0	0
Gm11464	1	1	0	1	0	0
Gm12999	0	0	0	0	0	0
Gm13727	0	0	0	0	0	0
4930404I05Rik	3	6	2	10	6	5
Gm13187	0	0	0	0	0	0
Gm13856	0	0	0	0	0	1
Gm12498	1	0	0	0	1	0
4930453H23Rik	0	0	0	0	0	0
Gm15104	0	0	0	0	0	0
0610043K17Rik	1	1	2	1	1	0
Gm13710	4	5	1	1	3	4
Gm16347	0	0	0	0	0	0
Gm13398	0	0	0	0	3	0
C430049B03Rik	18	20	28	36	15	30
Junos	49	39	40	76	32	44
Gm15491	0	0	0	0	0	0
BC065397	4	6	7	19	5	7
Gm14696	0	0	0	0	0	0
Tmem170b	114	157	134	208	144	171
Gm15541	5	7	4	4	4	8
Gm15892	0	2	2	1	1	0
Gm15457	0	0	0	0	0	0
Gm15517	0	0	0	0	0	0
AV099323	19	20	15	17	17	18
Gm12414	0	0	0	0	0	1
Gm13849	0	0	0	0	0	0
2210408F21Rik	5	4	15	10	10	9
Gm16008	1	3	2	0	1	0
Ctcflos	0	0	0	1	0	0
Gm12446	0	0	0	0	0	0
Gm15558	0	0	0	0	0	0
Frg2f1	7	4	7	10	3	7
Gm15637	0	0	0	0	0	0
Gm15420	0	0	0	1	0	0
Gm12128	0	0	0	0	0	0
Gm15592	0	0	0	0	0	0
Gm7598	1	1	0	1	1	1
1700023C21Rik	0	0	0	0	0	0
Gm12945	0	0	0	0	0	0
Gm12705	0	1	1	0	0	0
4933407K13Rik	19	21	18	38	23	25
Rapgef3os2	8	3	5	8	6	0
Gm12343	0	0	0	0	0	0
Gm11899	0	0	0	0	0	0
Gm15270	1	0	1	1	0	0
Gm14664	0	0	0	0	0	0
Gm11867	0	0	0	0	0	0
Kantr	95	158	160	209	131	144
Gm11752	0	0	0	0	0	0
Gm14232	1	0	0	1	1	0
E130215H24Rik	0	0	0	0	0	0
Gm11431	0	0	0	0	0	0
Cers1	19	17	15	8	14	14
Gm14271	0	0	0	0	0	0
2310065F04Rik	0	0	0	0	0	0
Gm16048	0	0	0	0	0	0
Gm15501	51	41	55	53	57	54
Gm11266	11	8	4	5	12	9
Gm14529	0	0	0	0	0	0
Gm15906	0	0	0	0	0	0
Gm13001	0	0	0	0	0	0
Gm13564	0	0	0	0	0	0
5730405O15Rik	4	3	3	6	8	9
Gm15404	0	0	0	0	0	0
Gm15017	0	0	0	0	0	0
Gm16235	0	0	0	2	0	0
Gm13405	0	0	0	0	0	0
Gm16054	1	2	0	1	0	0
Gm15123	0	0	0	0	0	0
Gm14167	4	3	4	1	4	1
Rab11fip4os1	4	3	0	4	5	4
Gm16323	0	0	0	0	0	0
Gm16156	0	0	0	0	0	0
Gm13112	0	0	0	0	0	0
Gm15788	1	4	9	3	2	4
4930577N17Rik	8	6	8	10	9	6
Gm13853	0	0	0	0	0	0
Gm14453	1	0	3	1	0	0
Ppp1r18os	0	1	2	7	3	1
Gm5475	0	1	1	0	0	0
Gm14286	6	3	1	7	1	2
Gm12971	0	0	0	0	0	0
Gm13994	0	0	0	0	0	0
Gm12970	0	0	0	0	0	0
Gm11998	0	0	0	0	0	0
Gm13174	0	0	0	0	0	0
5330411J11Rik	0	0	0	0	0	0
Gm16322	0	0	0	0	0	0
Gm7799	1	0	0	1	0	0
Gm13999	0	2	0	0	0	0
Csmd2os	0	0	0	0	0	0
4930401O12Rik	0	0	0	0	0	0
C230014O12Rik	0	0	0	0	0	0
Gm2200	0	0	0	0	0	0
Gm12862	0	0	0	0	0	0
Gm13905	0	0	0	0	0	0
A330041J22Rik	0	0	0	0	0	1
Gm13601	0	0	0	0	0	0
Gm7023	0	0	0	0	0	0
Gm16142	0	0	0	0	0	0
A630031M04Rik	0	0	0	0	0	0
Gm13883	0	0	0	0	0	0
Gm12100	0	0	0	0	0	0
4933406I18Rik	0	0	0	0	0	0
Rap1gapos	2	2	0	1	0	1
Gm13822	3	1	0	1	0	3
4930506C21Rik	2	1	2	0	0	0
Gm16835	0	0	0	0	0	0
Gm15910	24	18	22	32	27	19
Gm12720	0	0	0	0	0	0
2900089D17Rik	0	0	2	1	1	6
Gm13383	0	0	0	1	0	0
Gm11723	0	0	0	0	0	0
Ppp2r2cos	0	0	0	0	0	0
Gm15656	0	0	0	0	0	0
Gm14552	0	0	0	0	0	0
Gm15700	0	0	0	0	0	0
Gm14152	0	0	0	0	0	0
Gm13523	4	2	2	0	2	3
2810001G20Rik	18	11	11	8	17	21
Gm12426	0	0	0	0	0	0
Gm12116	3	2	0	6	1	2
Gm16091	5	15	3	23	5	5
Gm13658	0	0	0	0	0	0
Gm15241	0	0	0	0	0	0
Gm16141	0	0	0	0	0	0
Gm14174	0	0	0	0	0	0
1700112K13Rik	0	0	0	0	0	0
Ccdc201	0	0	0	0	0	0
Gm13236	0	0	0	0	0	0
Gm16076	0	0	0	0	0	0
Gm13554	0	0	0	0	0	0
Tbx3os1	0	0	0	0	0	0
4930577H14Rik	0	0	0	0	0	0
Gm13561	0	0	0	0	0	0
AV039307	2	3	3	2	1	2
Gm14389	0	0	0	0	0	0
AI646519	0	0	0	0	0	0
Gm371	0	0	0	0	0	0
Gm12319	4	4	10	14	11	11
Gm14285	0	0	0	0	0	0
Gm13062	0	0	0	0	0	0
Gm15738	0	0	0	0	2	1
Gm13656	0	0	0	0	0	0
9830144P21Rik	17	12	21	26	12	13
Gm15533	2	1	0	1	0	0
Gm15606	0	0	0	0	0	0
Gm15938	1	1	1	0	0	0
Gm11418	0	0	0	0	0	0
Zmiz1os1	3	3	1	0	1	3
Gm14246	0	0	0	0	0	0
Gm13799	0	0	0	0	0	0
Gm16341	0	0	0	0	0	0
Gm13584	0	0	0	0	0	0
Gm11412	0	0	0	0	0	0
Hopxos	0	0	0	0	0	0
Gm15878	0	0	0	0	0	0
Gm16576	71	92	79	82	101	102
Gm13923	0	0	0	0	0	0
Gm13966	0	2	0	1	0	0
Platr27	5	11	9	10	9	6
Gm13427	0	1	0	1	0	1
Gm14343	0	0	0	0	0	0
Gm15819	0	0	0	1	0	0
5730412P04Rik	0	0	0	0	0	0
Gm13997	0	0	0	0	0	0
Gm15764	6	5	2	15	7	4
Gm13802	0	0	0	0	0	0
Gm11608	0	0	0	0	0	0
Gm14205	0	0	0	0	0	0
Gm11817	0	0	0	0	0	0
Gm14662	0	0	0	0	0	0
Maats1os	0	0	0	0	0	0
Actb-ps1	2	3	2	1	4	2
Gm13647	3	4	1	8	2	1
Gm15202	0	0	0	0	0	0
C030037D09Rik	21	39	40	44	42	32
Gm12976	11	2	5	8	10	5
Gm13299	0	0	0	0	0	0
Ccdc142os	3	3	3	4	3	5
Hectd2os	1	0	1	1	0	0
Gm11571	0	0	0	0	0	0
Ighv6-7	0	0	0	0	0	0
Gm14457	0	0	0	0	0	0
Gm14100	0	0	0	0	0	0
Gm6938	0	0	0	0	0	0
Gm15245	0	0	0	0	0	0
Gm16355	0	0	0	0	0	0
D430040D24Rik	8	4	12	11	8	7
Epb41l4aos	181	136	153	166	137	157
Gm14635	0	0	0	0	0	0
Gm11184	0	0	0	0	0	0
Gm16174	6	8	8	8	4	14
1810012K08Rik	2	8	6	7	4	4
Gm11715	1	0	0	1	0	0
Gm15345	0	0	0	0	0	0
Zfp111	196	220	236	222	237	226
