	R7	R8	R9	R1	R2	R3
Gm13929	0	0	0	0	0	0
Olfr626-ps1	0	0	0	0	0	0
Nlk-ps1	0	0	0	0	0	0
Psmb7-ps2	0	0	0	0	0	0
Gm11512	0	0	0	0	0	0
AU015836	0	0	0	0	0	0
Gm12797	0	0	0	0	0	0
Gm12846	0	0	0	3	1	2
Olfr997-ps1	0	0	0	0	0	0
Gm11760	0	0	0	0	0	0
Rps24-ps3	51	46	52	50	37	38
Gm12461	0	0	0	0	0	0
Gm15427	136	105	144	142	104	115
Gm6305	1	0	0	0	1	0
Mup-ps17	0	0	0	0	0	0
Gm12025	1	0	0	0	0	0
Gm6987	0	0	0	0	0	0
Gm13998	0	0	0	0	0	0
Olfr1017-ps1	0	0	0	0	0	0
H3c15	0	1	1	1	0	0
Gm11945	0	2	1	0	1	2
Gm11318	0	0	0	0	0	0
Gm14712	0	0	0	0	0	0
Gm13640	0	0	0	0	0	0
Gm11825	0	0	0	0	0	0
Gm6071	0	0	0	0	0	0
Gm13576	0	0	0	0	0	0
Gm12817	0	0	0	0	0	0
Gm12912	0	0	1	0	0	0
Gm12804	0	0	0	0	1	0
Gm13928	0	0	0	0	0	0
Gm13181	2	2	0	0	0	1
Gm9836	2	6	6	2	5	5
Gm14977	0	0	0	0	0	0
Gm13758	0	0	0	0	0	0
Rpsa-ps4	11	14	13	15	11	11
Gm13899	0	0	0	0	0	0
Gm12568	0	1	0	0	0	0
Gm13059	0	0	0	0	0	0
Vmn1r-ps102	0	0	0	0	0	0
Gm14856	0	0	0	0	0	0
Gm14937	0	0	0	0	0	0
Gm6079	0	0	0	0	0	0
Gm5638	1	0	0	0	0	0
Gm13463	0	0	0	0	0	0
Gm9506	2	1	0	0	0	0
Rps15a-ps7	5	3	3	11	4	4
Gm11679	0	0	0	0	0	0
Gm14624	0	0	0	0	0	0
Gm14128	0	0	0	0	0	0
Gm12565	2	2	1	1	4	3
Rpl19-ps11	159	141	149	130	129	125
Gm14946	0	0	0	0	0	0
Gm12691	0	0	0	0	0	0
Gm12135	0	0	0	0	0	0
Gm12220	0	0	0	0	0	0
Gm5270	0	0	1	0	1	0
Gm14630	1	2	2	0	0	2
Gm12024	0	0	0	0	0	0
Rps12-ps26	1	0	1	1	0	1
Gm15989	0	0	0	0	0	0
Gm7155	0	0	0	0	0	0
Gm12235	0	0	0	0	0	0
Gm4234	0	0	0	0	0	0
Gm12745	0	0	0	0	0	0
Gm5913	14	19	25	16	22	19
Gm12140	0	0	0	0	0	0
Gm7308	11	11	9	5	10	7
Gm15390	0	0	0	0	0	0
Gm15913	0	0	0	0	0	0
Gm13329	0	0	0	0	0	0
Gm11233	0	0	0	0	0	0
Gm6758	5	3	0	0	1	1
Gm14601	0	0	0	0	0	0
Gm12458	0	1	0	1	0	0
Gm12791	1	2	3	1	1	4
Gm13678	0	0	0	0	0	0
Gm14906	0	0	0	0	0	0
Rpl26-ps5	0	0	0	0	0	0
Gm15784	3	6	7	2	3	11
Gm12677	0	0	0	0	0	0
Gm13328	2	1	3	5	3	0
Gm14605	0	0	0	0	0	0
Gm8217	0	0	0	0	1	1
Gm14833	0	0	0	0	0	0
Gm13744	0	0	0	0	0	0
Rhox11-ps2	0	0	0	0	0	0
Gm14913	0	0	0	0	0	0
Gm14800	0	0	0	0	0	0
Gm12990	0	0	0	0	0	0
BC022960	33	18	28	27	14	9
Gm12834	1	0	1	0	0	0
Gm13333	0	0	0	0	0	0
Gm11501	0	0	0	0	0	0
Gm15497	2	2	0	3	0	4
Gm15823	0	0	0	0	0	0
Vmn2r-ps2	0	0	0	0	0	0
Gm14585	0	0	0	0	0	0
Gm6207	0	0	0	0	0	0
Gm6024	0	0	0	0	0	0
Gm11891	0	0	0	0	0	0
Gm12684	0	0	0	0	0	0
Gm11448	0	0	0	1	0	0
Gm12430	0	1	0	0	2	0
Gm11401	0	0	0	0	1	0
Defa-ps13	0	0	0	0	0	0
Gm12771	0	0	0	0	0	0
Gm14425	0	0	0	0	0	0
Gm13552	2	3	1	2	0	0
Gm13521	0	0	0	0	0	0
Gm6023	2	1	0	2	0	2
Gm14897	0	0	0	0	0	0
Gm12783	0	1	3	0	1	0
Olfr400-ps1	0	0	0	0	0	0
Defa-ps12	0	0	0	0	0	0
Gm8722	1	3	0	1	2	2
Gm11783	0	0	0	0	0	0
Gm12819	0	0	0	0	0	0
Gm8880	0	0	0	0	0	0
Gm13730	0	0	0	0	0	0
Gm12551	0	0	0	0	0	0
Gm12922	3	0	2	1	0	3
Gm7485	0	0	0	0	0	0
Gm12849	0	0	0	0	0	0
Gm13500	0	0	0	0	0	0
Gm13439	0	0	0	0	0	0
Gm5793	0	0	0	0	0	0
H3f3a-ps2	6	2	6	2	4	5
Gm12509	0	0	0	0	0	0
Gm13136	3	10	3	1	4	1
Gm7212	0	0	0	0	0	0
Gm13353	0	0	0	0	0	0
Gm14935	0	0	0	0	0	0
Gm12449	0	0	0	0	0	0
Gm12685	0	0	0	0	0	0
Gm4852	1	0	0	0	0	2
Gm12578	0	0	0	0	0	0
3110067C02Rik	0	1	0	0	0	0
Gm14621	0	0	0	0	0	0
Hspd1-ps4	0	0	0	0	0	0
Gm11271	0	0	0	0	0	0
Gm8424	0	0	0	0	0	0
Rhox2-ps	0	0	0	0	0	0
Gm13858	0	0	1	0	0	0
Gm15076	0	0	0	0	0	0
Gm16407	0	0	0	0	0	0
Gm15615	0	0	0	0	0	0
Smt3h2-ps4	2	3	2	1	2	2
Gm13220	0	0	0	0	0	0
Gm5940	2	1	0	1	0	2
Gm11935	0	0	0	0	0	0
Gm13775	0	0	0	0	0	0
Gm11400	8	7	4	5	2	3
Gm14890	0	0	0	0	0	0
Gm12933	4	3	5	2	0	1
Gm14886	0	0	0	0	0	0
Gm6964	0	1	0	0	1	0
Rpl35a-ps2	26	18	26	27	39	32
Gm11446	0	0	0	0	0	0
Gm6744	0	0	0	0	0	0
Gm15268	2	0	0	1	0	1
Gm4297	0	0	0	0	0	0
Bambi-ps1	2	2	2	1	0	2
Gm14542	0	0	0	0	0	0
Gm14760	1	1	1	1	6	0
Gm15173	0	0	0	0	0	0
Gm12247	6	9	13	16	14	5
Gm2066	0	0	0	0	0	0
Cyp2j12	0	0	0	0	0	0
Gm8802	0	0	0	0	0	0
Gm13082	0	0	0	0	0	0
Gm16089	1	1	2	0	0	2
Lamr1-ps1	0	0	0	0	0	0
Gm9097	0	0	0	0	0	0
Tcp1-ps1	0	0	0	0	0	0
Gm14373	3	5	3	0	2	4
Gm12857	0	0	0	0	0	0
Olfr1120	0	0	0	0	0	0
Gm14788	0	0	0	0	1	1
Gm13574	0	0	0	0	0	0
Gm11385	1	0	1	0	1	0
Gm15836	0	0	1	0	0	1
Gm11836	4	6	7	5	6	2
Gm16511	0	0	0	0	0	0
Gm15719	1	0	0	0	0	0
Gm14037	0	0	0	0	0	0
Gm13529	0	0	0	0	0	0
Gm6587	0	0	0	0	0	0
Gm13787	0	0	0	0	0	0
Gm11517	6	5	9	6	2	2
Gm15554	0	0	0	0	0	0
Gm12164	6	6	4	4	4	10
Gm16032	0	0	0	0	0	0
Gm8501	0	0	0	0	0	0
Gm12112	2	2	0	1	1	1
Gm5380	0	0	0	1	0	0
Gm15791	0	0	0	1	0	0
Gm13607	0	0	0	0	0	0
Gm14013	0	0	0	0	0	0
Gm6893	0	0	0	0	0	0
Gm13149	0	0	0	0	0	0
Gm15370	0	0	0	0	0	0
Gm12261	0	0	0	0	0	0
Gm14859	0	0	0	0	0	0
Gm14021	0	0	0	0	0	0
Gm11282	0	0	0	0	0	1
Gm14909	0	0	0	0	0	0
Gm14659	0	0	0	0	0	0
Gm11653	1	0	0	0	0	0
Gm14883	0	0	0	0	0	0
Ap2m1-ps	32	34	40	33	29	27
Gm15896	0	0	0	0	0	0
Gm15727	4	2	0	5	1	2
Gm13875	0	0	1	0	0	0
Gm13132	0	1	0	0	0	0
Gm15285	1	1	1	1	2	1
Gm13186	0	0	0	0	0	1
Vmn1r-ps2	0	0	0	0	0	0
Gm9516	0	0	0	0	0	0
Rpl7-ps9	19	24	15	15	12	13
Gm13836	1	2	1	3	3	2
Vmn1r-ps104	0	0	0	0	0	0
Gm13673	0	0	0	0	0	0
Gm18859	0	0	0	1	0	0
Gm14995	0	0	0	0	0	0
Olfr333-ps1	0	0	0	0	0	0
Gm11386	0	0	0	0	0	0
Gm14857	7	8	2	2	6	4
Gm12520	0	0	0	0	0	0
Gm15018	0	0	0	0	0	0
Gm11673	0	0	0	0	0	0
Gm6275	1	0	0	0	0	0
Gm12203	0	0	0	0	0	0
Gm12209	0	0	0	0	0	0
Gm14622	0	0	0	0	0	0
Gm13603	0	0	0	0	0	0
Gm14587	0	0	0	0	0	0
Gm15951	0	0	0	0	0	0
Gm12020	3	1	2	4	2	0
Gm16011	0	0	0	0	0	0
Gm11509	0	0	0	0	0	0
Gm12879	0	0	0	0	0	0
Gm15266	0	0	0	0	0	0
Gm13627	0	0	0	0	0	0
Gm14480	1	1	0	0	0	0
Gm12397	1	1	0	0	1	1
Gm14054	0	0	0	0	0	0
Gm14520	0	0	0	0	0	0
Gm14213	0	0	0	0	0	0
Gm14132	0	0	0	0	0	0
Olfr621-ps1	0	0	0	0	0	0
Gm16205	0	1	0	0	0	0
Gm12757	0	0	0	0	0	0
Rpl36-ps1	0	0	0	0	0	0
Gm12936	0	2	0	1	0	0
Gm15034	0	0	0	0	0	0
Gm15304	0	0	0	0	0	0
Rpl7l1-ps1	0	0	0	0	0	0
Gm14550	0	0	0	0	0	0
Gm12599	0	0	2	0	1	0
Gm14417	0	0	0	0	0	0
Gm11819	0	0	0	0	0	0
Gm12492	0	0	0	0	2	1
Gm13013	0	0	0	0	0	0
Gm15151	0	1	1	0	0	1
Gm12664	0	0	1	1	0	0
Gm12307	0	0	0	0	0	0
Vmn1r-ps94	0	0	0	0	0	0
Gm15786	0	0	0	0	0	0
Gm15073	0	0	0	0	0	0
Gm16044	0	1	0	2	0	0
Gm12275	0	0	1	0	0	0
Gm14891	0	0	0	0	0	0
Gm11434	0	0	0	0	0	0
Gm16071	4	4	3	16	2	1
Gm14303	21	23	21	9	14	11
Olfr1159-ps1	0	0	0	0	0	0
Gm12030	0	0	0	0	0	0
Gm13878	0	0	0	0	0	0
Gm15041	0	0	0	0	0	0
Gm5388	1	0	0	0	0	0
Gm12389	0	0	0	0	0	1
Gm13818	0	0	0	0	0	0
Gm14894	0	0	0	0	0	0
Gm15264	1	5	1	1	1	2
Xlr4e-ps	0	1	0	0	0	0
Gm14746	0	0	0	0	0	0
Cox20b	0	0	0	0	0	0
Gm11718	0	0	0	0	0	0
Gm11813	0	0	0	0	0	0
Cyp2j7	0	0	0	0	0	0
Gm11500	0	0	0	0	0	0
Gm8595	0	0	0	0	0	0
Gm15031	0	0	0	0	0	0
Gm13265	0	0	0	0	0	0
Gm11896	0	0	0	0	0	0
Gm9105	0	1	0	1	0	0
Gm16171	0	0	0	0	0	1
Gm16436	1	2	1	0	2	1
Gm15011	0	0	0	0	0	0
Gm14686	0	0	0	0	0	0
Gm11694	1	0	0	0	1	0
Gm12877	0	0	0	0	0	0
Rps13-ps4	6	5	5	8	6	4
Gm14771	0	0	0	0	0	0
Gm5752	0	0	0	0	0	0
Rpl18-ps1	17	26	14	20	18	16
Gm5742	0	0	0	0	0	0
Gm12752	0	0	0	0	0	0
Gm15160	0	0	0	0	0	0
Gm11801	0	0	0	0	0	0
Gm13368	0	0	0	0	0	0
Gm14538	0	0	0	0	0	0
Gm11765	0	0	0	0	0	0
Gm11668	0	0	0	0	0	0
Gm13215	6	9	10	12	5	4
Gm14879	0	0	0	0	0	0
Gm15132	0	0	0	0	0	0
Gm14815	0	0	0	0	0	0
Gm7657	0	0	0	0	0	0
Gm14921	0	0	0	0	0	0
Gm13680	34	41	34	45	38	26
Gm15455	3	1	1	1	1	3
Gm15694	7	8	5	3	2	7
Gm13142	0	0	1	1	0	0
Rps6-ps4	113	96	109	106	94	99
Gm14568	0	0	0	0	0	0
Gm15047	0	0	0	0	0	0
Gm8215	0	0	0	0	0	0
Gm6797	0	0	0	0	0	0
Gm15403	0	0	0	0	0	0
Uqcrh-ps2	0	0	0	0	0	0
Gm3943	0	0	0	0	0	0
Gm15176	0	0	0	0	0	0
Gm14383	1	1	0	0	0	0
Gm15603	0	0	0	0	1	0
Gm14830	1	0	1	2	1	0
Gm13445	0	0	0	0	0	0
Gm14282	0	0	0	0	0	0
Gm12882	0	0	0	0	0	0
Gm14774	0	0	0	0	0	0
Gm12382	0	0	0	0	0	0
Tpt1-ps2	0	0	0	0	0	0
Rps27-ps1	0	0	0	0	0	0
Gm15483	1	6	2	1	1	3
Gm12593	0	0	0	0	0	0
Serpinb1-ps1	0	0	0	0	0	0
Gm14165	409	408	403	490	463	430
Gm11403	0	0	0	0	0	0
Gm5912	0	0	0	0	0	1
Gm12402	0	0	0	0	0	0
Gm11254	0	0	0	0	0	0
Gm7840	0	0	0	0	0	0
Gm12464	0	0	0	0	0	0
Gm6161	0	0	2	3	0	0
Gm14682	0	0	0	0	0	0
Gm3880	0	0	0	0	0	0
Gm15803	0	0	0	0	0	0
Rpl23a-ps4	0	0	0	0	0	0
Gm13870	0	0	0	0	0	0
Gm11432	0	0	0	0	0	0
Gm11700	0	0	0	0	0	0
Gm12734	2	3	1	2	0	5
Gm14761	0	0	0	0	0	0
Gm6767	37	47	38	29	39	34
Hmgb1-ps3	2	3	4	1	2	0
Gm7781	0	0	0	0	1	1
Gm13488	0	0	1	0	0	0
Gm14796	0	0	0	0	0	0
Llph-ps1	1	2	1	2	1	7
Gm13168	0	0	0	0	0	0
Rpl30-ps11	0	0	0	1	2	0
Pou5f1-rs13	0	0	0	0	0	0
Gm14732	0	0	0	0	0	0
Gm12884	0	0	0	0	0	0
Gm14912	0	0	0	0	0	0
Gm13337	30	25	29	13	25	24
Vmn1r-ps95	0	0	0	0	0	0
Gm14131	0	0	1	1	0	0
Gm14735	0	0	0	0	0	0
Gm4853	0	0	0	0	0	0
Gm12855	0	0	0	0	0	1
Gm14558	0	0	0	0	0	0
Itpa-ps1	258	245	211	168	196	186
Gm7916	0	0	0	0	0	0
AA623943	1	0	0	0	0	0
Gm13608	0	1	1	0	0	1
Gm14293	0	0	0	0	0	0
Gm12445	0	0	0	0	0	0
Gm13492	0	0	0	0	0	0
Gm12338	15	18	7	16	14	16
Gm14452	0	0	0	0	0	0
Gm13689	0	3	2	1	2	1
Gm15368	0	0	0	0	0	0
Gm11830	0	0	0	0	0	0
Gm12778	7	7	2	4	4	4
Gm9311	2	0	0	0	0	2
Gm14130	0	0	0	0	1	0
Vmn1r-ps108	0	0	0	0	0	0
Gm13428	0	0	0	0	0	0
Gm15560	0	1	0	0	0	0
Olfr407-ps1	0	0	0	0	0	0
Gm12517	0	0	0	0	0	0
Gm15233	0	0	0	0	0	0
Gm13286	0	0	0	0	0	0
Gm5646	0	0	0	0	0	0
Gm12508	0	0	0	1	0	0
Gm8644	1	0	0	0	0	0
Amy2-ps1	0	0	0	0	0	0
Gm14993	0	0	0	0	0	0
Gm12654	0	0	0	0	0	0
Gm12768	0	0	0	0	0	0
Gm11475	0	0	0	0	0	0
Gm15821	5	3	3	13	4	3
Gm11623	0	0	0	0	0	0
Gm14673	0	0	0	0	0	0
Gm12311	0	0	0	0	0	0
Gm12470	1	0	1	2	0	0
Gm16204	0	0	0	0	0	0
Gm13331	0	0	0	0	0	0
Gm16200	0	2	2	2	2	3
Gm13170	0	0	0	0	0	0
Gm13058	0	0	0	0	0	0
Gm11658	0	0	0	0	0	0
Gm13325	0	0	0	0	0	0
Gm7219	0	0	0	0	0	0
Gm12924	0	0	0	0	0	0
Gm14884	0	0	0	0	0	0
Gm12646	0	0	0	0	0	0
Vmn1r-ps113	0	0	0	0	0	0
Gm15781	0	0	0	0	0	0
Gm15111	0	0	0	0	0	0
Slc48a1	1980	1983	2007	1741	1663	1676
Gm15193	0	0	0	0	0	0
Gm37832	0	0	0	0	0	0
Rps13-ps8	0	0	0	0	0	0
Gm11990	0	0	0	0	0	0
Gm12538	1	0	0	0	0	0
Gm13940	0	0	0	0	0	0
Gm12512	0	0	0	0	0	0
Gm12733	0	0	0	0	0	0
Gm13077	0	1	2	0	0	0
Gm14927	0	0	0	0	0	0
Gm11553	0	0	0	0	0	0
Gm11692	0	0	0	0	0	0
Gm15877	0	0	0	0	0	0
Gm14654	0	0	0	0	0	0
Gm12328	0	0	0	0	0	0
Ccdc50-ps	1	0	2	0	0	0
Gm6427	0	0	0	0	0	0
Gm15778	0	0	0	0	0	0
Gm5697	0	1	0	0	0	0
Gm12411	0	0	2	2	0	1
Gm9218	0	0	0	0	0	0
Gm12425	0	0	0	0	0	0
Gm11575	1	2	3	1	2	3
Gm12635	0	0	0	0	0	0
Gm13717	1	3	0	0	1	1
Rps12-ps5	2	2	1	1	0	2
Gm13756	0	0	0	0	0	0
Gm14838	0	0	0	0	0	0
Gm15032	0	0	1	0	1	0
Gm12490	0	0	0	0	0	0
Gm12192	0	0	1	0	0	1
Gm12125	0	0	0	0	0	0
Gm14138	2	1	3	2	2	2
Gm15164	0	0	0	0	0	0
Gm14429	1	0	0	1	0	0
Gm12090	1	0	0	0	2	1
Gm11279	0	0	0	1	0	0
Gm13455	0	0	0	0	0	0
Gm12611	1	0	0	0	0	0
Gm11909	0	0	0	0	0	0
Gm14129	0	0	0	0	0	0
Gm14769	0	0	0	0	0	0
Gm12716	0	0	0	0	0	0
Gm12926	0	0	0	0	0	0
Gm11544	0	0	0	0	0	0
Gm14926	0	0	0	0	0	0
Gm11661	0	0	0	0	0	0
Gm14353	0	0	0	0	0	0
Gm14413	0	0	0	0	0	0
Btf3-ps9	0	0	0	0	0	0
Gm11936	0	0	0	0	0	0
Gm11841	0	0	2	0	0	1
Gm15467	0	0	0	0	1	0
Gm13036	0	0	0	0	0	0
Gm15968	0	0	0	1	0	0
Gm14506	0	0	0	0	0	0
Gm8312	0	0	0	0	0	0
Gm14390	0	0	0	0	0	0
Gm12286	5	4	1	1	5	1
Gm13065	0	0	0	0	0	0
Gm15369	0	0	0	0	0	0
Gm14681	440	379	402	478	380	398
Gm11518	9	16	11	12	11	11
Gm15953	0	1	2	1	0	1
Gm9059	0	0	0	0	0	0
Gm15294	0	0	0	0	0	0
Gm16210	2	1	0	0	0	0
Gm12939	0	0	0	0	0	0
Gm13733	0	0	0	0	0	0
Gm13651	1	2	3	1	1	4
Xlr5e-ps	0	0	0	0	0	0
Gm12109	0	0	0	0	0	0
Gm9436	0	1	1	2	1	2
Gm12539	0	0	0	0	0	0
Gm14247	0	0	0	0	0	0
Rps13-ps7	0	0	0	0	0	0
5033423K11Rik	0	0	0	0	0	0
Gm13351	0	0	0	0	0	1
Gm14633	0	0	0	0	0	0
Gm12793	0	0	0	0	0	0
Gm5937	2	1	1	0	0	0
Gm8809	0	0	0	0	0	0
Gm6912	0	0	0	0	0	0
Rps12-ps7	0	0	0	0	0	0
Gm14369	0	0	0	0	0	0
Gm13158	0	0	0	0	0	0
Gm14804	0	0	0	0	0	0
Eif3s6-ps1	3	1	1	0	3	4
Gm11498	0	0	0	0	0	0
Gm12005	0	1	1	1	1	0
Gm11443	0	0	0	0	0	0
Gm8522	0	0	0	0	0	0
Gm15071	0	0	0	0	0	0
Gm15901	0	0	0	0	0	0
Gm14594	0	0	0	0	0	0
Gm14973	0	0	0	0	0	0
Rplp0-ps1	8	8	10	12	12	7
Gm9439	0	0	0	0	0	0
Gm13532	17	24	21	18	12	18
Gm11605	7	5	5	12	5	5
Gm15060	0	0	0	0	0	0
Gm13022	0	0	0	0	0	0
Gm13423	1	1	1	2	2	1
Olfr213	0	0	0	0	0	0
Gm16181	0	1	0	1	0	0
Gm15530	1	0	0	1	0	0
Gm14283	0	0	0	0	0	0
Gm11354	0	0	0	0	0	0
Gm5383	0	0	0	0	0	0
Gm11246	1	0	0	0	0	0
Gm15466	2	2	1	3	3	4
Gm12077	0	0	0	0	0	0
Gm14917	0	0	0	0	0	0
Gm11787	0	0	0	0	0	0
Gm14450	0	0	0	0	0	0
Gm14098	0	0	0	0	0	0
Gm11207	0	0	0	0	0	0
Gm15544	0	1	1	2	0	0
Gm15922	0	0	0	0	0	0
Gm11677	1	0	0	2	1	0
Gm12883	0	0	0	0	0	0
Gm7869	0	0	1	0	0	0
Npm3-ps1	23	16	17	21	19	30
Gm15697	0	0	3	3	2	2
Gm13167	0	0	0	0	0	0
Gm13000	0	0	0	0	0	0
Gm14794	0	1	0	0	1	0
Gm6184	0	0	0	0	0	1
Gm12712	0	0	0	1	0	1
Gm11643	0	0	0	0	0	1
Mdk-ps1	1	0	0	0	0	0
Gm12959	0	0	0	0	0	0
Gm11874	0	1	1	1	2	0
Gm14473	0	0	0	0	0	0
Gm14868	0	0	0	0	0	0
Fzd10	0	0	0	1	0	0
Rps2-ps13	651	627	671	664	681	659
Gm12647	0	0	0	0	0	0
Gm11774	0	0	0	0	0	0
Gm13996	0	0	0	0	0	0
Gm12499	0	0	0	0	0	0
Gm9166	0	1	0	0	0	0
Gm12317	0	0	0	0	0	0
Gm11965	0	0	0	0	0	0
Gm15971	0	0	0	1	1	0
Gm13297	0	0	0	0	0	0
Olfr660-ps1	0	0	0	0	0	0
Rpsa-ps5	0	0	0	0	0	0
Gm12717	0	0	0	0	0	0
Gm14714	0	0	0	0	0	0
Gm12329	0	0	0	0	0	0
Gm15213	0	0	0	0	0	0
Atp5k-ps2	0	0	0	0	2	2
Gm13890	0	0	0	0	0	0
Gm6285	2	1	0	1	0	2
Gm14603	0	0	0	0	0	0
Gm12582	0	0	0	0	0	0
Gm7927	0	0	0	0	0	0
Gm11343	0	0	0	0	0	0
Gm15022	0	0	0	0	0	0
Gm11785	0	0	0	0	0	0
Gm12096	0	0	0	0	0	0
Gm12170	0	0	0	0	0	0
Gm12782	0	0	0	0	0	0
Rps11-ps3	0	0	1	0	0	0
Gm14839	0	0	0	0	0	0
Vmn1r-ps106	0	0	0	0	0	0
Gm8261	2	1	1	1	0	1
Gm13726	0	0	0	0	0	0
Gm12391	0	0	0	0	0	1
Gm13882	6	3	8	4	3	5
Gm11763	0	0	0	0	0	0
Gm15931	0	0	0	0	0	0
Olfr129	0	0	0	0	0	0
Gm14930	0	0	0	0	0	0
Hspa9-ps1	2	1	4	5	3	1
Gm13785	1	1	0	1	0	0
Calr-ps	1	0	0	0	0	1
Gm15495	0	2	0	0	0	0
Gm12852	0	0	0	0	1	1
Gm12740	0	0	0	0	0	0
Gm14530	0	0	0	0	0	0
Gm14971	0	0	0	0	0	0
Olfr359-ps1	0	0	0	0	0	0
Hmgb1-ps2	7	3	8	7	4	9
Mdm4-ps	0	1	0	5	2	0
Gm14279	6	3	11	15	9	9
Gm14106	0	0	0	0	0	0
Gm9051	0	0	0	0	0	0
Gm4911	0	0	0	0	0	0
Gm5721	0	0	0	0	0	0
Gm15549	0	1	1	0	0	1
Gm13925	0	0	0	0	0	0
Rpl7a-ps9	0	0	0	0	0	0
Gm14870	0	1	0	0	1	0
Gm12241	0	0	0	0	0	0
Gm4995	0	0	0	0	0	0
Gm14251	0	1	1	3	0	1
Sms-ps	6	8	7	15	7	2
Mup-ps23	0	0	0	0	0	0
Gm12291	0	0	0	0	0	0
Gm13798	1	0	0	0	0	0
Gm11460	0	0	0	1	1	0
Gm6298	0	0	0	0	0	0
Gm13738	0	0	0	0	0	0
Gm9435	0	0	0	0	0	0
Gm14677	0	0	0	0	0	0
2210409E12Rik	0	0	0	0	0	0
Gm12067	0	0	0	0	0	0
Gm12755	0	0	0	0	0	0
Gm12216	8	8	9	2	7	10
Rbpj-ps1	0	0	0	0	0	0
Gm15381	0	0	1	1	0	0
Gm13131	0	0	0	0	0	0
Gm8302	0	0	0	0	0	0
Gm13866	0	0	0	0	0	0
Gm12420	0	0	0	0	0	0
Gm14159	0	0	0	0	0	0
Gm6325	0	0	0	0	0	0
Gm21998	0	0	0	0	0	0
Gm14753	0	0	0	0	0	0
Gm15152	0	0	0	0	0	0
Gm15599	1	0	0	0	0	0
Gm13281	0	0	0	0	0	0
Gm11897	0	0	0	0	0	0
Gm13991	3	4	1	5	3	1
Gm5898	157	139	129	109	124	133
Gm11893	0	5	2	3	1	2
Gm12190	0	0	0	0	0	0
Anp32b-ps1	6	6	6	4	4	4
5730416F02Rik	0	0	0	0	0	1
Gm9005	0	0	0	0	0	0
Gm8662	0	1	0	0	0	1
Gm8152	0	0	0	0	0	1
Gm14071	0	0	0	0	0	0
Gm14200	3	2	1	0	0	2
Dnmt3l-ps1	0	0	0	0	0	0
Gm15282	0	0	0	1	0	0
Xlr5d-ps	0	0	0	0	0	0
Gm14335	1	0	1	2	2	1
Gm14901	0	0	0	0	0	0
Gm14849	0	0	0	0	0	0
Gm15539	0	0	0	0	0	0
Gm11878	4	3	10	7	1	9
Gm12713	0	0	0	0	1	0
Gm4789	0	0	0	0	0	0
Gm12806	0	0	0	0	0	0
Gm14695	0	0	0	0	0	0
Gm15528	0	0	0	0	1	0
Gm13590	0	1	0	0	0	1
Gm12722	1	1	1	2	0	0
Gm12029	0	0	0	0	0	0
Gm15158	0	0	0	0	0	0
Gm15626	0	0	0	0	0	0
Cyp4a28-ps	0	0	0	0	0	0
Ndufs5-ps	2	2	6	2	3	1
Gm15103	0	0	0	0	0	0
Gm11420	0	0	0	0	0	0
Gm15460	0	0	0	0	0	0
Gm13475	0	0	0	0	0	0
Gm7405	0	0	0	0	0	0
Gm6897	0	0	0	0	0	0
Gm13669	1	0	5	8	1	2
Gm13770	0	0	0	0	0	0
Gm11790	0	0	0	0	0	0
Olfr1180	0	0	0	0	0	0
Gm14649	0	0	0	0	0	0
Gm13038	0	0	1	0	0	0
Gm13454	0	0	0	0	0	0
Gm15220	0	0	0	0	0	0
Gm13444	0	0	0	0	0	0
Rap1a-ps2	0	0	0	0	0	0
Gm7851	0	0	0	0	0	0
Gm11241	0	0	0	0	0	0
Prkaca-ps1	0	0	1	0	0	0
Btf3-ps7	0	0	0	0	0	0
Gm14925	0	0	0	0	0	0
Zar1-ps	0	0	0	0	0	0
Gm13323	0	0	0	0	0	0
Gm12281	0	0	0	0	0	0
Gm13735	0	0	0	0	0	0
Gm11447	0	0	0	0	0	0
Rpl17-ps5	28	21	22	33	21	16
Gm14580	0	0	0	0	0	0
Gm13624	1	1	0	0	0	0
Gm14514	0	0	0	0	0	0
Olfr650-ps1	0	0	0	0	0	0
Gm11533	0	0	0	0	0	0
Gm14441	0	1	0	0	0	0
Gm12413	0	0	0	0	0	0
Gm12780	0	0	0	0	0	0
Olfr405-ps1	0	0	0	0	0	0
Gm15484	8	14	12	10	11	7
Gm12401	0	0	0	0	0	0
Gm12039	0	0	0	0	0	0
Gm15002	0	0	0	0	0	0
Gm15141	0	0	0	0	0	0
Gm11488	2	2	1	0	1	0
Gm15572	0	0	0	0	0	0
Gm15197	0	0	0	0	0	1
Gm14983	0	0	0	0	0	0
Gm15223	0	0	0	0	0	1
Gm12644	0	0	0	0	0	0
Gm8858	0	0	0	0	0	0
Gm13739	0	0	0	0	0	0
Gm11933	0	0	0	0	0	0
Gm5385	0	0	0	0	0	0
Gm14752	0	0	0	0	0	0
Gm14294	0	0	0	0	0	0
Gm15574	0	0	0	0	0	0
Gm11821	0	0	0	1	0	0
Gm13231	2	1	2	2	1	2
Gm6175	0	0	0	0	0	0
Gm12097	2	2	0	0	0	1
Spcs2-ps	1	0	0	2	0	2
Gm13188	0	0	0	0	0	0
Gm11243	0	0	0	0	0	0
Gm14660	0	0	0	0	0	0
Gm8864	0	0	0	0	0	0
Gm13273	0	0	0	0	0	0
Gm14212	0	1	0	0	0	0
Rpl17-ps10	49	68	58	60	44	40
